path,step,S
14,45,96.5783
14,46,95.2794
14,47,93.9871
14,48,96.089
14,49,97.7411
14,50,96.6745
14,51,96.8417
14,52,96.4305
14,53,99.5792
14,54,98.7779
14,55,99.5592
14,56,98.4389
14,57,97.4989
14,58,97.3384
14,59,96.9774
14,60,94.3533
14,61,93.7031
14,62,93.702
14,63,94.1125
14,64,94.0501
14,65,91.8518
14,66,90.2329
14,67,90.9115
14,68,90.8721
14,69,90.4272
14,70,90.2135
14,71,93.4119
14,72,93.7636
14,73,93.6793
14,74,93.2506
14,75,93.8316
14,76,92.7047
14,77,89.5237
14,78,91.6265
14,79,92.0798
14,80,93.7657
14,81,93.3679
14,82,94.4083
14,83,94.7888
14,84,93.8352
14,85,93.2664
14,86,93.1949
14,87,93.6741
14,88,92.3822
14,89,93.0402
14,90,91.7201
14,91,93.9376
14,92,93.5364
14,93,90.9892
14,94,90.6854
14,95,92.4821
14,96,91.3074
14,97,92.0702
14,98,93.8328
14,99,92.8293
14,100,94.3513
15,0,100
15,1,98.7988
15,2,98.5872
15,3,97.333
15,4,96.0143
15,5,95.4825
15,6,94.4083
15,7,96.6329
15,8,97.8915
15,9,97.7668
15,10,98.8616
15,11,97.8084
15,12,95.5713
15,13,95.4978
15,14,96.9378
15,15,98.0182
15,16,96.849
15,17,97.9703
15,18,97.7109
15,19,97.6337
15,20,96.5769
15,21,94.1966
15,22,96.2722
15,23,95.337
15,24,94.828
15,25,94.8346
15,26,97.9297
15,27,99.062
15,28,97.7895
15,29,102.171
15,30,102.278
15,31,102.234
15,32,101.827
15,33,99.5169
15,34,100.802
15,35,101.264
15,36,99.9795
15,37,99.2814
15,38,101.52
15,39,102.741
15,40,103.273
15,41,100.769
15,42,101.221
15,43,101.302
15,44,101.996
15,45,98.9637
15,46,99.4448
15,47,96.3679
15,48,95.3314
15,49,96.5382
15,50,96.645
15,51,94.5579
15,52,95.1632
15,53,93.1476
15,54,94.8955
15,55,92.8261
15,56,91.1317
15,57,91.1539
15,58,88.9147
15,59,89.4706
15,60,89.0984
15,61,90.2025
15,62,88.7165
15,63,89.7201
15,64,90.3182
15,65,89.1951
15,66,90.0015
15,67,88.5358
15,68,88.8633
15,69,87.2168
15,70,85.4792
15,71,86.1881
15,72,85.4097
15,73,86.644
15,74,84.6666
15,75,83.0814
15,76,82.8482
15,77,83.4281
15,78,84.2261
15,79,86.2253
15,80,86.0221
15,81,86.7731
15,82,87.1944
15,83,87.9769
15,84,88.4112
15,85,89.7778
15,86,88.2815
15,87,88.5428
15,88,88.7909
15,89,88.2073
15,90,86.1012
15,91,84.6571
15,92,86.7732
15,93,86.8637
15,94,85.773
15,95,82.9238
15,96,83.051
15,97,84.4837
15,98,82.6536
15,99,84.5824
15,100,82.6326
16,0,100
16,1,104.158
16,2,105.065
16,3,105.6
16,4,107.019
16,5,106.554
16,6,104.257
16,7,103.311
16,8,101.854
16,9,101.669
16,10,101.46
16,11,99.8623
16,12,100.969
16,13,98.7007
16,14,96.3607
16,15,94.5095
16,16,93.5878
16,17,90.6843
16,18,89.0155
16,19,90.1357
16,20,87.9167
16,21,88.3581
16,22,88.1804
16,23,86.9201
16,24,85.3287
16,25,84.8046
16,26,84.7772
16,27,83.9755
16,28,84.7327
16,29,87.4354
16,30,87.4073
